"core","subcore","sample.label","depth_cm","depth.upr_cm","depth.lwr_cm","depth.range","age.14C","age.14C.se","count.14C","species","size.fraction","n.forams","n.forams.grp","cruise","site","age.14C.count.se","offset","age.14C.cal","age.14C.cal.se"
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",8552.04330978351,131.985374779844,8283,"G. bulloides","250-400",6,"5-6","SO213/2","SO213-84-2",93.950947235005,0,8977,195.360748229591
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",8299.79605287775,139.498479422415,6582,"G. bulloides","250-400",6,"5-6","SO213/2","SO213-84-2",102.284822148879,0,8656,190.10772604376
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",7346.31004641568,151.840268728126,4785,"G. bulloides","250-400",5.5,"5-6","SO213/2","SO213-84-2",106.17964099485,0,7633,158.151725468692
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",7533.96879771434,129.617505474975,8708,"G. bulloides","250-400",6,"5-6","SO213/2","SO213-84-2",80.7197089180058,0,7810,143.598618079686
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",10818.2250241242,152.53460014072,5123,"G. bulloides","250-400",6,"5-6","SO213/2","SO213-84-2",151.125359874824,0,12067,247.543630606593
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",9402.01436341743,133.86464991011,8037,"G. bulloides","250-400",6,"5-6","SO213/2","SO213-84-2",104.859202324499,0,10040,201.004373940246
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",8531.92859491486,134.191521202557,7718,"G. bulloides","250-400",6,"5-6","SO213/2","SO213-84-2",97.1001139101079,0,8948,197.536971318613
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",8226.25290125303,132.36184183929,8092,"G. bulloides","250-400",6,"5-6","SO213/2","SO213-84-2",91.4315582691796,0,8560,181.369380501643
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",8815.10851921894,134.220721871934,7780,"G. bulloides","250-400",6,"5-6","SO213/2","SO213-84-2",99.9229806325556,0,9298,172.182596150176
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",6133.56470958595,126.016320808033,9547,"G. bulloides","250-400",6,"5-6","SO213/2","SO213-84-2",62.7593264981777,0,6370,154.653354829868
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",7587.91182435406,125.081409985873,9363,"G. bulloides","250-400",30,"30","SO213/2","SO213-84-2",78.4025725540108,0,7863,142.744047757721
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",8210.73924987487,122.294081375437,10906,"G. bulloides","250-400",30,"30","SO213/2","SO213-84-2",78.6088358131869,0,8539,169.993602873048
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",8321.49963720136,124.170564860484,10142,"G. bulloides","250-400",30,"30","SO213/2","SO213-84-2",82.6157246585943,0,8679,175.412913420628
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",7822.66727632007,120.546994103135,11692,"G. bulloides","250-400",30,"30","SO213/2","SO213-84-2",72.3316608489475,0,8107,140.377043272623
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",10138.7668166732,159.423674945537,5629,"G. bulloides","250-400",3,"3","SO213/2","SO213-84-2",135.11639187444,0,11053,243.850618878593
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",11624.25804692,289.827615959504,1028,"G. bulloides","250-400",3,"3","SO213/2","SO213-84-2",362.50799858642,0,12959,305.999656316772
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",8462.00039872537,199.779041357249,2408,"G. bulloides","250-400",3,"3","SO213/2","SO213-84-2",172.41262256839,0,8856,259.4200935053
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",4226.5666414619,192.27472613079,2424,"G. bulloides","250-400",3,"3","SO213/2","SO213-84-2",85.8209008687264,0,4130,262.893231808592
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",12341.9635962622,256.405042133141,1450,"G. bulloides","250-400",3,"3","SO213/2","SO213-84-2",324.080974297908,0,13747,353.199882933266
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",12424.425735105,231.554439784204,1937,"G. bulloides","250-400",3,"3","SO213/2","SO213-84-2",282.270353558416,0,13848,337.151657578143
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",8112.32784755752,200.423226656951,2359,"G. bulloides","250-400",3,"3","SO213/2","SO213-84-2",166.994593350872,0,8435,251.016339319218
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",8565.4004764849,169.445187921886,3988,"G. bulloides","250-400",3,"3","SO213/2","SO213-84-2",135.611126975876,0,8990,230.422735509351
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",7197.92257235573,194.852282774796,2484,"G. bulloides","250-400",3,"3","SO213/2","SO213-84-2",144.391863751385,0,7492,200.728104057097
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",7057.86813179777,298.887545832552,862,"G. bulloides","250-400",3,"3","SO213/2","SO213-84-2",240.342013142111,0,7345,313.951073799845
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",10462.4429125182,244.591510147462,1507,"G. bulloides","250-400",3,"3","SO213/2","SO213-84-2",269.474349427218,0,11540,368.215214060492
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",8938.5105549874,189.459605353954,2861,"G. bulloides","250-400",3,"3","SO213/2","SO213-84-2",167.083994422815,0,9454,258.308935087871
"GeoB 10054-4",NA,"10054-4_68cm",68,68,69,"68-69",4411.96703800294,113.011044580906,14588,"T. sacculifer","250-400",10,"10","SO184","GeoB 10054-4/58-1",36.5181666953501,0,4374,171.393022543454
"GeoB 10054-4",NA,"10054-4_68cm",68,68,69,"68-69",4438.91007349802,110.193066603299,16951,"T. sacculifer","250-400",10,"10","SO184","GeoB 10054-4/58-1",34.0842459040574,0,4411,168.090713384456
"GeoB 10054-4",NA,"10054-4_68cm",68,68,69,"68-69",4529.19222320136,110.468843435719,16697,"T. sacculifer","250-400",10,"10","SO184","GeoB 10054-4/58-1",35.0411161953338,0,4531,162.046119496447
"GeoB 10054-4",NA,"10054-4_68cm",68,68,69,"68-69",4303.94301639346,107.095123008464,20493,"T. sacculifer","250-400",10,"10","SO184","GeoB 10054-4/58-1",30.0563769761071,0,4232,162.399570392741
"GeoB 10054-4",NA,"10054-4_68cm",68,68,69,"68-69",4306.28674696512,108.891206744292,18284,"T. sacculifer","250-400",10,"10","SO184","GeoB 10054-4/58-1",31.8375956332536,0,4235,164.766535396757
"GeoB 10054-4",NA,"10054-4_68cm",68,68,69,"68-69",4130.86878521551,115.5415536924,12917,"T. sacculifer","250-400",10,"10","SO184","GeoB 10054-4/58-1",36.3354620765014,0,4004,173.244943155365
"GeoB 10054-4",NA,"10054-4_68cm",68,68,69,"68-69",3799.82732295133,114.289247660794,13673,"T. sacculifer","250-400",10,"10","SO184","GeoB 10054-4/58-1",32.4860273397286,0,3577,158.276932866086
"GeoB 10054-4",NA,"10054-4_68cm",68,68,69,"68-69",4277.56254393231,109.40364003616,17729,"T. sacculifer","250-400",10,"10","SO184","GeoB 10054-4/58-1",32.1163895119738,0,4198,164.52056563595
"GeoB 10054-4",NA,"10054-4_68cm",68,68,69,"68-69",4309.82024411759,104.582834564393,24554,"T. sacculifer","250-400",10,"10","SO184","GeoB 10054-4/58-1",27.4960944219628,0,4240,160.172549116645
"GeoB 10054-4",NA,"10054-4_68cm",68,68,69,"68-69",4030.65246177726,107.199305001526,20321,"T. sacculifer","250-400",10,"10","SO184","GeoB 10054-4/58-1",28.266452139269,0,3871,162.193844086976
"GeoB 10066-7",NA,"GeoB 10066-7_53cm",53,53,54,"53-54",2994.12356760729,121.465918983128,5385,"G. bulloides","250-400",10,"10","SO184","GeoB 10066-7",40.7875136781555,0,2590,160.273205435523
"GeoB 10066-7",NA,"GeoB 10066-7_53cm",53,53,54,"53-54",2662.39455525203,145.248229290204,3553,"G. bulloides","250-400",10,"10","SO184","GeoB 10066-7",44.6497332172031,0,2185,198.445843005349
